iter	Passed	Remaining
412	3150	4478
413	3156	4468
414	3165	4462
415	3172	4453
416	3179	4445
417	3186	4436
418	3191	4425
419	3200	4419
420	3205	4409
421	3214	4402
422	3220	4392
423	3226	4382
424	3234	4376
425	3240	4365
426	3248	4359
427	3254	4349
428	3262	4342
429	3268	4332
430	3274	4322
431	3283	4317
432	3290	4309
433	3298	4302
434	3304	4292
435	3312	4285
436	3318	4275
437	3324	4265
438	3332	4259
439	3338	4249
440	3346	4242
441	3352	4232
442	3361	4226
443	3367	4216
444	3372	4206
445	3382	4201
446	3388	4191
447	3396	4184
448	3403	4177
449	3412	4171
450	3418	4161
451	3426	4153
452	3432	4144
453	3438	4135
454	3446	4128
455	3452	4118
456	3460	4111
457	3466	4101
458	3471	4091
459	3480	4085
460	3486	4076
461	3495	4070
462	3501	4061
463	3509	4053
464	3515	4044
465	3521	4034
466	3529	4027
467	3534	4018
468	3542	4011
469	3549	4002
470	3555	3993
471	3563	3985
472	3568	3976
473	3576	3969
474	3582	3959
475	3590	3953
476	3597	3944
477	3603	3935
478	3611	3928
479	3617	3919
480	3625	3912
481	3632	3904
482	3642	3898
483	3649	3890
484	3659	3885
485	3666	3877
486	3676	3872
487	3682	3863
488	3691	3857
489	3698	3849
490	3706	3842
491	3712	3833
492	3718	3824
493	3726	3817
494	3732	3807
495	3740	3801
496	3746	3791
497	3754	3784
498	3760	3775
499	3766	3766
500	3774	3759
501	3779	3749
502	3788	3743
503	3796	3735
504	3803	3728
505	3811	3720
506	3816	3711
507	3824	3704
508	3830	3695
509	3839	3688
510	3845	3679
511	3852	3672
512	3858	3663
513	3864	3654
514	3873	3647
515	3879	3638
516	3887	3631
517	3893	3622
518	3899	3613
519	3908	3607
520	3913	3598
521	3922	3591
522	3927	3582
523	3936	3575
524	3942	3567
525	3948	3558
526	3956	3551
527	3962	3542
528	3970	3535
529	3976	3526
530	3984	3519
531	3991	3511
532	3996	3501
533	4006	3496
534	4012	3487
535	4020	3480
536	4026	3471
537	4034	3464
538	4040	3455
539	4046	3446
540	4054	3439
541	4059	3430
542	4069	3424
543	4076	3416
544	4085	3410
545	4091	3401
546	4099	3395
547	4106	3387
548	4112	3378
549	4120	3371
550	4126	3362
551	4134	3355
552	4140	3346
553	4148	3339
554	4154	3330
555	4160	3322
556	4168	3314
557	4173	3305
558	4181	3299
559	4187	3290
560	4195	3283
561	4203	3276
562	4210	3268
563	4219	3262
564	4226	3253
565	4234	3247
566	4240	3238
567	4249	3231
568	4255	3223
569	4262	3215
570	4268	3207
571	4274	3198
572	4282	3191
573	4288	3182
574	4297	3176
575	4303	3168
576	4309	3159
577	4317	3152
578	4323	3143
579	4332	3137
580	4338	3128
581	4346	3121
582	4352	3112
583	4357	3104
584	4366	3097
585	4371	3088
586	4380	3082
587	4386	3073
588	4395	3067
589	4402	3059
590	4407	3050
591	4416	3043
592	4422	3035
593	4430	3028
594	4436	3019
595	4444	3012
596	4450	3004
597	4456	2995
598	4464	2988
599	4470	2980
600	4478	2973
601	4484	2964
602	4492	2957
603	4498	2949
604	4504	2940
605	4514	2934
606	4520	2926
607	4528	2919
608	4534	2911
609	4542	2903
610	4549	2896
611	4554	2887
612	4564	2881
613	4570	2873
614	4579	2866
615	4585	2858
616	4596	2853
617	4603	2845
618	4613	2839
619	4620	2831
620	4629	2825
621	4636	2817
622	4645	2810
623	4651	2803
624	4661	2796
625	4667	2788
626	4675	2781
627	4681	2773
628	4687	2764
629	4695	2757
630	4700	2749
631	4709	2742
632	4715	2734
633	4724	2727
634	4730	2719
635	4736	2710
636	4745	2704
637	4751	2695
638	4759	2688
639	4765	2680
640	4773	2673
641	4779	2665
642	4784	2656
643	4793	2649
644	4799	2641
645	4807	2634
646	4813	2626
647	4818	2617
648	4827	2611
649	4833	2602
650	4841	2595
651	4847	2587
652	4855	2580
653	4861	2571
654	4867	2563
655	4875	2556
656	4881	2548
657	4889	2541
658	4895	2532
659	4900	2524
660	4908	2517
661	4914	2509
662	4922	2502
663	4928	2494
664	4935	2486
665	4942	2478
666	4948	2470
667	4956	2463
668	4962	2455
669	4969	2447
670	4976	2439
671	4981	2431
672	4990	2424
673	4996	2416
674	5003	2409
675	5009	2401
676	5015	2393
677	5023	2385
678	5029	2377
679	5038	2371
680	5045	2363
681	5054	2356
682	5061	2349
683	5069	2342
684	5075	2334
685	5083	2326
686	5089	2319
687	5095	2310
688	5103	2303
689	5109	2295
690	5117	2288
691	5123	2280
692	5130	2272
693	5139	2266
694	5145	2258
695	5153	2250
696	5159	2242
697	5167	2235
698	5173	2227
699	5179	2219
700	5187	2212
701	5193	2204
702	5202	2197
703	5208	2189
704	5216	2182
705	5222	2174
706	5228	2166
707	5236	2159
708	5242	2151
709	5252	2145
710	5258	2137
711	5266	2130
712	5272	2122
713	5278	2114
714	5286	2107
715	5292	2099
716	5300	2092
717	5306	2084
718	5314	2076
719	5320	2069
720	5326	2061
721	5334	2054
722	5340	2046
723	5349	2039
724	5355	2031
725	5363	2024
726	5370	2016
727	5377	2008
728	5385	2001
729	5391	1994
730	5399	1987
731	5405	1979
732	5413	1971
733	5419	1963
734	5425	1956
735	5433	1949
736	5439	1941
737	5448	1934
738	5457	1927
739	5467	1921
740	5474	1913
741	5487	1908
742	5497	1901
743	5504	1894
744	5513	1887
745	5519	1879
746	5527	1872
747	5533	1864
748	5539	1856
749	5547	1849
750	5553	1841
751	5561	1834
752	5567	1826
753	5573	1818
754	5582	1811
755	5588	1803
756	5596	1796
757	5602	1788
758	5611	1781
759	5619	1774
760	5628	1767
761	5634	1759
762	5642	1752
763	5648	1744
764	5654	1736
765	5664	1730
766	5670	1722
767	5678	1715
768	5684	1707
769	5692	1700
770	5698	1692
771	5703	1684
772	5713	1677
773	5718	1669
774	5726	1662
775	5732	1654
776	5737	1646
777	5745	1639
778	5751	1631
779	5760	1624
780	5766	1616
781	5774	1609
782	5780	1602
783	5786	1594
784	5794	1587
785	5800	1579
786	5808	1571
787	5814	1564
788	5820	1556
789	5828	1549
790	5835	1541
791	5845	1535
792	5855	1528
793	5863	1521
794	5873	1514
795	5881	1507
796	5891	1500
797	5898	1493
798	5908	1486
799	5916	1479
800	5926	1472
801	5932	1464
802	5942	1457
803	5948	1450
804	5958	1443
805	5964	1435
806	5974	1428
807	5983	1421
808	5993	1414
809	5999	1407
810	6010	1400
811	6019	1393
812	6028	1386
813	6037	1379
814	6044	1372
815	6053	1365
816	6060	1357
817	6069	1350
818	6077	1343
819	6084	1335
820	6092	1328
821	6099	1320
822	6108	1313
823	6115	1306
824	6124	1299
825	6129	1291
826	6138	1284
827	6144	1276
828	6153	1269
829	6159	1261
830	6167	1254
831	6173	1246
832	6179	1238
833	6188	1231
834	6194	1224
835	6202	1216
836	6209	1209
837	6217	1201
838	6225	1194
839	6234	1187
840	6241	1180
841	6250	1172
842	6256	1165
843	6262	1157
844	6271	1150
845	6277	1142
846	6286	1135
847	6293	1128
848	6301	1120
849	6307	1113
850	6315	1105
851	6322	1098
852	6328	1090
853	6336	1083
854	6342	1075
855	6351	1068
856	6360	1061
857	6370	1054
858	6377	1046
859	6386	1039
860	6394	1032
861	6402	1024
862	6407	1017
863	6418	1010
864	6426	1002
865	6436	995
866	6443	988
867	6453	981
868	6464	974
869	6474	967
870	6483	960
871	6492	953
872	6502	945
873	6509	938
874	6518	931
875	6524	923
876	6533	916
877	6539	908
878	6548	901
879	6554	893
880	6562	886
881	6568	878
882	6574	871
883	6582	863
884	6588	856
885	6596	848
886	6603	841
887	6609	833
888	6617	826
889	6624	818
890	6633	811
891	6639	803
892	6648	796
893	6654	789
894	6662	781
895	6668	773
896	6673	766
897	6682	759
898	6689	751
899	6700	744
900	6711	737
901	6721	730
902	6731	723
903	6739	715
904	6750	708
905	6757	701
906	6767	693
907	6776	686
908	6785	679
909	6798	672
910	6810	665
911	6820	658
912	6832	651
913	6844	644
914	6855	636
915	6867	629
916	6879	622
917	6887	615
918	6899	608
919	6910	600
920	6920	593
921	6930	586
922	6941	579
923	6950	571
924	6960	564
925	6969	556
926	6980	549
927	6989	542
928	6997	534
929	7006	527
930	7012	519
931	7018	512
932	7026	504
933	7032	496
934	7040	489
935	7046	481
936	7053	474
937	7060	466
938	7066	459
939	7074	451
940	7080	443
941	7089	436
942	7095	428
943	7102	421
944	7110	413
945	7115	406
946	7123	398
947	7130	391
948	7137	383
949	7144	376
950	7150	368
951	7158	360
952	7164	353
953	7172	345
954	7178	338
955	7186	330
956	7192	323
957	7198	315
958	7207	308
959	7212	300
960	7222	293
961	7228	285
962	7236	278
963	7242	270
964	7248	262
965	7256	255
966	7261	247
967	7270	240
968	7276	232
969	7282	225
970	7289	217
971	7294	210
972	7303	202
973	7309	195
974	7318	187
975	7326	180
976	7336	172
977	7344	165
978	7352	157
979	7358	150
980	7367	142
981	7373	135
982	7379	127
983	7387	120
984	7393	112
985	7402	105
986	7407	97
987	7416	90
988	7422	82
989	7428	75
990	7436	67
991	7442	60
992	7450	52
993	7456	45
994	7462	37
995	7470	30
996	7479	22
997	7487	15
998	7495	7
999	7502	0
